#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
069,Bellsprout,Poison,300,50,75,35,70,30,40
070,Weepinbell,Grass,390,65,90,50,85,45,55
070,Weepinbell,Poison,390,65,90,50,85,45,55
071,Victreebel,Grass,490,80,105,65,100,70,70
071,Victreebel,Poison,490,80,105,65,100,70,70
072,Tentacool,Water,335,40,40,35,50,100,70
072,Tentacool,Poison,335,40,40,35,50,100,70
073,Tentacruel,Water,515,80,70,65,80,120,100
073,Tentacruel,Poison,515,80,70,65,80,120,100
074,Geodude,Rock,300,40,80,100,30,30,20
074,Geodude,Ground,300,40,80,100,30,30,20
074,GeodudeAlolan Geodude,Rock,300,40,80,100,30,30,20
074,GeodudeAlolan Geodude,Electric,300,40,80,100,30,30,20
075,Graveler,Rock,390,55,95,115,45,45,35
075,Graveler,Ground,390,55,95,115,45,45,35
075,GravelerAlolan Graveler,Rock,390,55,95,115,45,45,35
075,GravelerAlolan Graveler,Electric,390,55,95,115,45,45,35
076,Golem,Rock,495,80,120,130,55,65,45
076,Golem,Ground,495,80,120,130,55,65,45
076,GolemAlolan Golem,Rock,495,80,120,130,55,65,45
076,GolemAlolan Golem,Electric,495,80,120,130,55,65,45
077,Ponyta,Fire,410,50,85,55,65,65,90
078,Rapidash,Fire,500,65,100,70,80,80,105
079,Slowpoke,Water,315,90,65,65,40,40,15
079,Slowpoke,Psychic,315,90,65,65,40,40,15
080,Slowbro,Water,490,95,75,110,100,80,30
080,Slowbro,Psychic,490,95,75,110,100,80,30
080,SlowbroMega Slowbro,Water,590,95,75,180,130,80,30
080,SlowbroMega Slowbro,Psychic,590,95,75,180,130,80,30
081,Magnemite,Electric,325,25,35,70,95,55,45
081,Magnemite,Steel,325,25,35,70,95,55,45
082,Magneton,Electric,465,50,60,95,120,70,70
082,Magneton,Steel,465,50,60,95,120,70,70
083,Farfetch'd,Normal,377,52,90,55,58,62,60
083,Farfetch'd,Flying,377,52,90,55,58,62,60
084,Doduo,Normal,310,35,85,45,35,35,75
084,Doduo,Flying,310,35,85,45,35,35,75
085,Dodrio,Normal,470,60,110,70,60,60,110
085,Dodrio,Flying,470,60,110,70,60,60,110
086,Seel,Water,325,65,45,55,45,70,45
087,Dewgong,Water,475,90,70,80,70,95,70
087,Dewgong,Ice,475,90,70,80,70,95,70
088,Grimer,Poison,325,80,80,50,40,50,25
088,GrimerAlolan Grimer,Poison,325,80,80,50,40,50,25
088,GrimerAlolan Grimer,Dark,325,80,80,50,40,50,25
089,Muk,Poison,500,105,105,75,65,100,50
089,MukAlolan Muk,Poison,500,105,105,75,65,100,50
089,MukAlolan Muk,Dark,500,105,105,75,65,100,50
090,Shellder,Water,305,30,65,100,45,25,40
091,Cloyster,Water,525,50,95,180,85,45,70
091,Cloyster,Ice,525,50,95,180,85,45,70
092,Gastly,Ghost,310,30,35,30,100,35,80
092,Gastly,Poison,310,30,35,30,100,35,80
093,Haunter,Ghost,405,45,50,45,115,55,95
093,Haunter,Poison,405,45,50,45,115,55,95
094,Gengar,Ghost,500,60,65,60,130,75,110
094,Gengar,Poison,500,60,65,60,130,75,110
094,GengarMega Gengar,Ghost,600,60,65,80,170,95,130
094,GengarMega Gengar,Poison,600,60,65,80,170,95,130
095,Onix,Rock,385,35,45,160,30,45,70
095,Onix,Ground,385,35,45,160,30,45,70
096,Drowzee,Psychic,328,60,48,45,43,90,42
097,Hypno,Psychic,483,85,73,70,73,115,67
098,Krabby,Water,325,30,105,90,25,25,50
099,Kingler,Water,475,55,130,115,50,50,75
100,Voltorb,Electric,330,40,30,50,55,55,100
101,Electrode,Electric,490,60,50,70,80,80,150
102,Exeggcute,Grass,325,60,40,80,60,45,40
102,Exeggcute,Psychic,325,60,40,80,60,45,40
103,Exeggutor,Grass,530,95,95,85,125,75,55
103,Exeggutor,Psychic,530,95,95,85,125,75,55
103,ExeggutorAlolan Exeggutor,Grass,530,95,105,85,125,75,45
103,ExeggutorAlolan Exeggutor,Dragon,530,95,105,85,125,75,45
104,Cubone,Ground,320,50,50,95,40,50,35
105,Marowak,Ground,425,60,80,110,50,80,45
105,MarowakAlolan Marowak,Fire,425,60,80,110,50,80,45
105,MarowakAlolan Marowak,Ghost,425,60,80,110,50,80,45
106,Hitmonlee,Fighting,455,50,120,53,35,110,87
107,Hitmonchan,Fighting,455,50,105,79,35,110,76
108,Lickitung,Normal,385,90,55,75,60,75,30
109,Koffing,Poison,340,40,65,95,60,45,35
110,Weezing,Poison,490,65,90,120,85,70,60
111,Rhyhorn,Ground,345,80,85,95,30,30,25
111,Rhyhorn,Rock,345,80,85,95,30,30,25
112,Rhydon,Ground,485,105,130,120,45,45,40
112,Rhydon,Rock,485,105,130,120,45,45,40
113,Chansey,Normal,450,250,5,5,35,105,50
114,Tangela,Grass,435,65,55,115,100,40,60
115,Kangaskhan,Normal,490,105,95,80,40,80,90
115,KangaskhanMega Kangaskhan,Normal,590,105,125,100,60,100,100
116,Horsea,Water,295,30,40,70,70,25,60
117,Seadra,Water,440,55,65,95,95,45,85
118,Goldeen,Water,320,45,67,60,35,50,63
119,Seaking,Water,450,80,92,65,65,80,68
120,Staryu,Water,340,30,45,55,70,55,85
121,Starmie,Water,520,60,75,85,100,85,115
121,Starmie,Psychic,520,60,75,85,100,85,115
122,Mr. Mime,Psychic,460,40,45,65,100,120,90
122,Mr. Mime,Fairy,460,40,45,65,100,120,90
123,Scyther,Bug,500,70,110,80,55,80,105
123,Scyther,Flying,500,70,110,80,55,80,105
124,Jynx,Ice,455,65,50,35,115,95,95
124,Jynx,Psychic,455,65,50,35,115,95,95
125,Electabuzz,Electric,490,65,83,57,95,85,105
126,Magmar,Fire,495,65,95,57,100,85,93
127,Pinsir,Bug,500,65,125,100,55,70,85
127,PinsirMega Pinsir,Bug,600,65,155,120,65,90,105
127,PinsirMega Pinsir,Flying,600,65,155,120,65,90,105
128,Tauros,Normal,490,75,100,95,40,70,110
129,Magikarp,Water,200,20,10,55,15,20,80
130,Gyarados,Water,540,95,125,79,60,100,81
130,Gyarados,Flying,540,95,125,79,60,100,81
130,GyaradosMega Gyarados,Water,640,95,155,109,70,130,81
130,GyaradosMega Gyarados,Dark,640,95,155,109,70,130,81
131,Lapras,Water,535,130,85,80,85,95,60
131,Lapras,Ice,535,130,85,80,85,95,60
132,Ditto,Normal,288,48,48,48,48,48,48
133,Eevee,Normal,325,55,55,50,45,65,55
133,EeveePartner Eevee,Normal,435,65,75,70,65,85,75
134,Vaporeon,Water,525,130,65,60,110,95,65
135,Jolteon,Electric,525,65,65,60,110,95,130
136,Flareon,Fire,525,65,130,60,95,110,65
137,Porygon,Normal,395,65,60,70,85,75,40
138,Omanyte,Rock,355,35,40,100,90,55,35
138,Omanyte,Water,355,35,40,100,90,55,35
139,Omastar,Rock,495,70,60,125,115,70,55
139,Omastar,Water,495,70,60,125,115,70,55
140,Kabuto,Rock,355,30,80,90,55,45,55
140,Kabuto,Water,355,30,80,90,55,45,55
141,Kabutops,Rock,495,60,115,105,65,70,80
141,Kabutops,Water,495,60,115,105,65,70,80
142,Aerodactyl,Rock,515,80,105,65,60,75,130
142,Aerodactyl,Flying,515,80,105,65,60,75,130
142,AerodactylMega Aerodactyl,Rock,615,80,135,85,70,95,150
142,AerodactylMega Aerodactyl,Flying,615,80,135,85,70,95,150
143,Snorlax,Normal,540,160,110,65,65,110,30
144,Articuno,Ice,580,90,85,100,95,125,85
144,Articuno,Flying,580,90,85,100,95,125,85
145,Zapdos,Electric,580,90,90,85,125,90,100
145,Zapdos,Flying,580,90,90,85,125,90,100
146,Moltres,Fire,580,90,100,90,125,85,90
146,Moltres,Flying,580,90,100,90,125,85,90
147,Dratini,Dragon,300,41,64,45,50,50,50
148,Dragonair,Dragon,420,61,84,65,70,70,70
149,Dragonite,Dragon,600,91,134,95,100,100,80
149,Dragonite,Flying,600,91,134,95,100,100,80
150,Mewtwo,Psychic,680,106,110,90,154,90,130
150,MewtwoMega Mewtwo X,Psychic,780,106,190,100,154,100,130
150,MewtwoMega Mewtwo X,Fighting,780,106,190,100,154,100,130
150,MewtwoMega Mewtwo Y,Psychic,780,106,150,70,194,120,140
151,Mew,Psychic,600,100,100,100,100,100,100
152,Chikorita,Grass,318,45,49,65,49,65,45
153,Bayleef,Grass,405,60,62,80,63,80,60
154,Meganium,Grass,525,80,82,100,83,100,80
155,Cyndaquil,Fire,309,39,52,43,60,50,65
156,Quilava,Fire,405,58,64,58,80,65,80
157,Typhlosion,Fire,534,78,84,78,109,85,100
158,Totodile,Water,314,50,65,64,44,48,43
159,Croconaw,Water,405,65,80,80,59,63,58
160,Feraligatr,Water,530,85,105,100,79,83,78
161,Sentret,Normal,215,35,46,34,35,45,20
162,Furret,Normal,415,85,76,64,45,55,90
163,Hoothoot,Normal,262,60,30,30,36,56,50
163,Hoothoot,Flying,262,60,30,30,36,56,50
164,Noctowl,Normal,452,100,50,50,86,96,70
164,Noctowl,Flying,452,100,50,50,86,96,70
165,Ledyba,Bug,265,40,20,30,40,80,55
165,Ledyba,Flying,265,40,20,30,40,80,55
166,Ledian,Bug,390,55,35,50,55,110,85
166,Ledian,Flying,390,55,35,50,55,110,85
167,Spinarak,Bug,250,40,60,40,40,40,30
167,Spinarak,Poison,250,40,60,40,40,40,30
168,Ariados,Bug,400,70,90,70,60,70,40
168,Ariados,Poison,400,70,90,70,60,70,40
169,Crobat,Poison,535,85,90,80,70,80,130
169,Crobat,Flying,535,85,90,80,70,80,130
170,Chinchou,Water,330,75,38,38,56,56,67
170,Chinchou,Electric,330,75,38,38,56,56,67
171,Lanturn,Water,460,125,58,58,76,76,67
171,Lanturn,Electric,460,125,58,58,76,76,67
172,Pichu,Electric,205,20,40,15,35,35,60
173,Cleffa,Fairy,218,50,25,28,45,55,15
174,Igglybuff,Normal,210,90,30,15,40,20,15
174,Igglybuff,Fairy,210,90,30,15,40,20,15
175,Togepi,Fairy,245,35,20,65,40,65,20
176,Togetic,Fairy,405,55,40,85,80,105,40
176,Togetic,Flying,405,55,40,85,80,105,40
177,Natu,Psychic,320,40,50,45,70,45,70
177,Natu,Flying,320,40,50,45,70,45,70
178,Xatu,Psychic,470,65,75,70,95,70,95
178,Xatu,Flying,470,65,75,70,95,70,95
179,Mareep,Electric,280,55,40,40,65,45,35
180,Flaaffy,Electric,365,70,55,55,80,60,45
181,Ampharos,Electric,510,90,75,85,115,90,55
181,AmpharosMega Ampharos,Electric,610,90,95,105,165,110,45
181,AmpharosMega Ampharos,Dragon,610,90,95,105,165,110,45
182,Bellossom,Grass,490,75,80,95,90,100,50
183,Marill,Water,250,70,20,50,20,50,40
183,Marill,Fairy,250,70,20,50,20,50,40
184,Azumarill,Water,420,100,50,80,60,80,50
184,Azumarill,Fairy,420,100,50,80,60,80,50
185,Sudowoodo,Rock,410,70,100,115,30,65,30
186,Politoed,Water,500,90,75,75,90,100,70
187,Hoppip,Grass,250,35,35,40,35,55,50
187,Hoppip,Flying,250,35,35,40,35,55,50
188,Skiploom,Grass,340,55,45,50,45,65,80
188,Skiploom,Flying,340,55,45,50,45,65,80
189,Jumpluff,Grass,460,75,55,70,55,95,110
189,Jumpluff,Flying,460,75,55,70,55,95,110
190,Aipom,Normal,360,55,70,55,40,55,85
191,Sunkern,Grass,180,30,30,30,30,30,30
192,Sunflora,Grass,425,75,75,55,105,85,30
193,Yanma,Bug,390,65,65,45,75,45,95
193,Yanma,Flying,390,65,65,45,75,45,95
194,Wooper,Water,210,55,45,45,25,25,15
194,Wooper,Ground,210,55,45,45,25,25,15
195,Quagsire,Water,430,95,85,85,65,65,35
195,Quagsire,Ground,430,95,85,85,65,65,35
196,Espeon,Psychic,525,65,65,60,130,95,110
197,Umbreon,Dark,525,95,65,110,60,130,65
198,Murkrow,Dark,405,60,85,42,85,42,91
198,Murkrow,Flying,405,60,85,42,85,42,91
199,Slowking,Water,490,95,75,80,100,110,30
199,Slowking,Psychic,490,95,75,80,100,110,30
200,Misdreavus,Ghost,435,60,60,60,85,85,85
201,Unown,Psychic,336,48,72,48,72,48,48
202,Wobbuffet,Psychic,405,190,33,58,33,58,33
203,Girafarig,Normal,455,70,80,65,90,65,85
203,Girafarig,Psychic,455,70,80,65,90,65,85
204,Pineco,Bug,290,50,65,90,35,35,15
205,Forretress,Bug,465,75,90,140,60,60,40
205,Forretress,Steel,465,75,90,140,60,60,40
206,Dunsparce,Normal,415,100,70,70,65,65,45
207,Gligar,Ground,430,65,75,105,35,65,85
207,Gligar,Flying,430,65,75,105,35,65,85
208,Steelix,Steel,510,75,85,200,55,65,30
208,Steelix,Ground,510,75,85,200,55,65,30
208,SteelixMega Steelix,Steel,610,75,125,230,55,95,30
208,SteelixMega Steelix,Ground,610,75,125,230,55,95,30
209,Snubbull,Fairy,300,60,80,50,40,40,30
210,Granbull,Fairy,450,90,120,75,60,60,45
211,Qwilfish,Water,440,65,95,85,55,55,85
211,Qwilfish,Poison,440,65,95,85,55,55,85
212,Scizor,Bug,500,70,130,100,55,80,65
212,Scizor,Steel,500,70,130,100,55,80,65
212,ScizorMega Scizor,Bug,600,70,150,140,65,100,75
212,ScizorMega Scizor,Steel,600,70,150,140,65,100,75
213,Shuckle,Bug,505,20,10,230,10,230,5
213,Shuckle,Rock,505,20,10,230,10,230,5
214,Heracross,Bug,500,80,125,75,40,95,85
214,Heracross,Fighting,500,80,125,75,40,95,85
214,HeracrossMega Heracross,Bug,600,80,185,115,40,105,75
214,HeracrossMega Heracross,Fighting,600,80,185,115,40,105,75
215,Sneasel,Dark,430,55,95,55,35,75,115
215,Sneasel,Ice,430,55,95,55,35,75,115
216,Teddiursa,Normal,330,60,80,50,50,50,40
217,Ursaring,Normal,500,90,130,75,75,75,55
218,Slugma,Fire,250,40,40,40,70,40,20
219,Magcargo,Fire,430,60,50,120,90,80,30
219,Magcargo,Rock,430,60,50,120,90,80,30
220,Swinub,Ice,250,50,50,40,30,30,50
220,Swinub,Ground,250,50,50,40,30,30,50
221,Piloswine,Ice,450,100,100,80,60,60,50
221,Piloswine,Ground,450,100,100,80,60,60,50
222,Corsola,Water,410,65,55,95,65,95,35
222,Corsola,Rock,410,65,55,95,65,95,35
223,Remoraid,Water,300,35,65,35,65,35,65
224,Octillery,Water,480,75,105,75,105,75,45
225,Delibird,Ice,330,45,55,45,65,45,75
225,Delibird,Flying,330,45,55,45,65,45,75
226,Mantine,Water,485,85,40,70,80,140,70
226,Mantine,Flying,485,85,40,70,80,140,70
227,Skarmory,Steel,465,65,80,140,40,70,70
227,Skarmory,Flying,465,65,80,140,40,70,70
228,Houndour,Dark,330,45,60,30,80,50,65
228,Houndour,Fire,330,45,60,30,80,50,65
229,Houndoom,Dark,500,75,90,50,110,80,95
229,Houndoom,Fire,500,75,90,50,110,80,95
229,HoundoomMega Houndoom,Dark,600,75,90,90,140,90,115
229,HoundoomMega Houndoom,Fire,600,75,90,90,140,90,115
230,Kingdra,Water,540,75,95,95,95,95,85
230,Kingdra,Dragon,540,75,95,95,95,95,85
231,Phanpy,Ground,330,90,60,60,40,40,40
232,Donphan,Ground,500,90,120,120,60,60,50
233,Porygon2,Normal,515,85,80,90,105,95,60
234,Stantler,Normal,465,73,95,62,85,65,85
235,Smeargle,Normal,250,55,20,35,20,45,75
236,Tyrogue,Fighting,210,35,35,35,35,35,35
237,Hitmontop,Fighting,455,50,95,95,35,110,70
238,Smoochum,Ice,305,45,30,15,85,65,65
238,Smoochum,Psychic,305,45,30,15,85,65,65
239,Elekid,Electric,360,45,63,37,65,55,95
240,Magby,Fire,365,45,75,37,70,55,83
241,Miltank,Normal,490,95,80,105,40,70,100
242,Blissey,Normal,540,255,10,10,75,135,55
243,Raikou,Electric,580,90,85,75,115,100,115
244,Entei,Fire,580,115,115,85,90,75,100
245,Suicune,Water,580,100,75,115,90,115,85
246,Larvitar,Rock,300,50,64,50,45,50,41
246,Larvitar,Ground,300,50,64,50,45,50,41
247,Pupitar,Rock,410,70,84,70,65,70,51
247,Pupitar,Ground,410,70,84,70,65,70,51
248,Tyranitar,Rock,600,100,134,110,95,100,61
248,Tyranitar,Dark,600,100,134,110,95,100,61
248,TyranitarMega Tyranitar,Rock,700,100,164,150,95,120,71
248,TyranitarMega Tyranitar,Dark,700,100,164,150,95,120,71
249,Lugia,Psychic,680,106,90,130,90,154,110
249,Lugia,Flying,680,106,90,130,90,154,110
250,Ho-oh,Fire,680,106,130,90,110,154,90
250,Ho-oh,Flying,680,106,130,90,110,154,90
251,Celebi,Psychic,600,100,100,100,100,100,100
251,Celebi,Grass,600,100,100,100,100,100,100
252,Treecko,Grass,310,40,45,35,65,55,70
253,Grovyle,Grass,405,50,65,45,85,65,95
254,Sceptile,Grass,530,70,85,65,105,85,120
254,SceptileMega Sceptile,Grass,630,70,110,75,145,85,145
254,SceptileMega Sceptile,Dragon,630,70,110,75,145,85,145
255,Torchic,Fire,310,45,60,40,70,50,45
256,Combusken,Fire,405,60,85,60,85,60,55
256,Combusken,Fighting,405,60,85,60,85,60,55
257,Blaziken,Fire,530,80,120,70,110,70,80
257,Blaziken,Fighting,530,80,120,70,110,70,80
257,BlazikenMega Blaziken,Fire,630,80,160,80,130,80,100
257,BlazikenMega Blaziken,Fighting,630,80,160,80,130,80,100
258,Mudkip,Water,310,50,70,50,50,50,40
259,Marshtomp,Water,405,70,85,70,60,70,50
259,Marshtomp,Ground,405,70,85,70,60,70,50
260,Swampert,Water,535,100,110,90,85,90,60
260,Swampert,Ground,535,100,110,90,85,90,60
260,SwampertMega Swampert,Water,635,100,150,110,95,110,70
260,SwampertMega Swampert,Ground,635,100,150,110,95,110,70
261,Poochyena,Dark,220,35,55,35,30,30,35
262,Mightyena,Dark,420,70,90,70,60,60,70
263,Zigzagoon,Normal,240,38,30,41,30,41,60
264,Linoone,Normal,420,78,70,61,50,61,100
265,Wurmple,Bug,195,45,45,35,20,30,20
266,Silcoon,Bug,205,50,35,55,25,25,15
267,Beautifly,Bug,395,60,70,50,100,50,65
267,Beautifly,Flying,395,60,70,50,100,50,65
268,Cascoon,Bug,205,50,35,55,25,25,15
269,Dustox,Bug,385,60,50,70,50,90,65
269,Dustox,Poison,385,60,50,70,50,90,65
270,Lotad,Water,220,40,30,30,40,50,30
270,Lotad,Grass,220,40,30,30,40,50,30
271,Lombre,Water,340,60,50,50,60,70,50
271,Lombre,Grass,340,60,50,50,60,70,50
272,Ludicolo,Water,480,80,70,70,90,100,70
272,Ludicolo,Grass,480,80,70,70,90,100,70
273,Seedot,Grass,220,40,40,50,30,30,30
274,Nuzleaf,Grass,340,70,70,40,60,40,60
274,Nuzleaf,Dark,340,70,70,40,60,40,60
275,Shiftry,Grass,480,90,100,60,90,60,80
275,Shiftry,Dark,480,90,100,60,90,60,80
276,Taillow,Normal,270,40,55,30,30,30,85
276,Taillow,Flying,270,40,55,30,30,30,85
277,Swellow,Normal,455,60,85,60,75,50,125
277,Swellow,Flying,455,60,85,60,75,50,125
278,Wingull,Water,270,40,30,30,55,30,85
278,Wingull,Flying,270,40,30,30,55,30,85
279,Pelipper,Water,440,60,50,100,95,70,65
279,Pelipper,Flying,440,60,50,100,95,70,65
280,Ralts,Psychic,198,28,25,25,45,35,40
280,Ralts,Fairy,198,28,25,25,45,35,40
281,Kirlia,Psychic,278,38,35,35,65,55,50
281,Kirlia,Fairy,278,38,35,35,65,55,50
282,Gardevoir,Psychic,518,68,65,65,125,115,80
282,Gardevoir,Fairy,518,68,65,65,125,115,80
282,GardevoirMega Gardevoir,Psychic,618,68,85,65,165,135,100
282,GardevoirMega Gardevoir,Fairy,618,68,85,65,165,135,100
283,Surskit,Bug,269,40,30,32,50,52,65
283,Surskit,Water,269,40,30,32,50,52,65
284,Masquerain,Bug,454,70,60,62,100,82,80
284,Masquerain,Flying,454,70,60,62,100,82,80
285,Shroomish,Grass,295,60,40,60,40,60,35
286,Breloom,Grass,460,60,130,80,60,60,70
286,Breloom,Fighting,460,60,130,80,60,60,70
287,Slakoth,Normal,280,60,60,60,35,35,30
288,Vigoroth,Normal,440,80,80,80,55,55,90
289,Slaking,Normal,670,150,160,100,95,65,100
290,Nincada,Bug,266,31,45,90,30,30,40
290,Nincada,Ground,266,31,45,90,30,30,40
291,Ninjask,Bug,456,61,90,45,50,50,160
291,Ninjask,Flying,456,61,90,45,50,50,160
292,Shedinja,Bug,236,1,90,45,30,30,40
292,Shedinja,Ghost,236,1,90,45,30,30,40
293,Whismur,Normal,240,64,51,23,51,23,28
294,Loudred,Normal,360,84,71,43,71,43,48
295,Exploud,Normal,490,104,91,63,91,73,68
